csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
548.1139966696162	529.8252018589786	634.237592863571	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-6.3513e-06	0.0375397	-0.016549999999999995	8.655129999999999e-05	-0.000292575	0.0
551.6166790535812	530.9714726681311	634.8600229319748	1.610847	32.729683	0.12913508629999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0126343	-0.0216183	-0.0206959	0.00036979	0.000487997	0.0
557.6160974895905	531.7835375721057	644.2562101255627	2.311701	46.969852	0.24963485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0198973	-0.0109396	0.0873758	-0.000938143	-0.0	-0.000171127
564.1595956827738	533.4504916088649	648.4546378407192	2.1529409999999998	43.744106	0.47599880000000006	-0.0538585732	-0.0344348038	0.2874345802	0.0738735416	-0.1461727214	0.0398501903	-0.2124392896	-0.1170018386	0.3602633589	-0.0355446876	0.047279861500000006	-0.099056576	0.1100913875	0.1100764211	0.1100514784	0.1100165619	0.0	0.0	0.0	0.014331700000000001	0.140431	0.20520300000000002	-0.00240435	0.00112694	-0.00102942
559.654695455887	533.8021210198998	651.9764658133029	1.994805	40.531063	0.76788405	0.0741781538	0.0551291982	0.1723871714	-0.1337880686	-0.006944136500000001	0.011619221200000002	0.1094194308	-0.0516991446	-0.039587866	-0.17794028609999998	0.0337957277	-0.1448797586	0.1100514784	0.1099168208	0.1096925134	0.1093787392	0.0	0.0	0.0	0.019405000000000002	0.0431892	-0.13184	0.00104573	-0.000476752	0.00048732699999999996
560.6064388789853	533.4775667575854	647.9195367826026	1.51213	30.723927000000003	0.056965450000000015	0.0893377495	-0.0676786286	-0.0118740352	-0.005857746600000001	0.1016934254	0.131997165	0.0272832151	-0.1057645867	-0.029582276	-0.0597920008	-0.053823872800000006	-0.1346016211	0.1099716747	0.1095978516	0.1089757541	0.1081067916	0.0	0.0	0.0	0.0193986	0.0387025	-0.10169	0.00082763	-0.00033531800000000003	0.00040041400000000003
560.3850598446717	531.5977868872739	644.9195370279558	1.4629	29.723661	0.06812335	-0.0658509788	0.0655286524	-0.2032365764	-0.012363846	0.0273472081	0.113172394	-0.0006833596	0.1453978316	-0.0781785522	0.1011041616	-0.06648582389999999	-0.13626417400000002	0.1098520052	0.109119976	0.1079035387	0.1062080931	0.0	0.0	0.0	0.019389	0.0636842	-0.12255	0.000638956	-0.000399039	0.00020736799999999998
555.1109723372987	531.0241854868475	643.4830456181686	1.175314	23.88039	0.11034594	-0.0832000264	0.0622329606	-0.1338469052	0.1021654874	-0.1216097271	-0.1280716472	0.038868964	0.1423394302	-0.0429966729	0.0883588424	-0.08159048440000001	0.1187588247	0.1096925134	0.1084838869	0.1064793643	0.1036936517	0.0	0.0	0.0	0.015506299999999999	0.00608296	-0.11576099999999999	0.000273489	-0.000369735	0.000654057
558.0146263574674	530.9473198662681	645.5506277503728	0.954569	19.395235	0.13784349	-0.0860640602	0.0101070346	-0.0657150946	0.0488410631	-0.0518971377	-0.1338398093	-0.0280817717	0.1116529105	0.010782877	0.1026081441	-0.0158589744	0.17864970489999998	0.109493257	0.1076905065	0.1047078763	0.1005780447	0.0	0.0	0.0	0.00300803	0.0795803	-0.122445	0.000232302	2.2575599999999998e-05	0.000184277
561.8745911997581	530.9821352850428	647.5782889222153	1.171426	23.801401000000002	0.074371635	-0.0495212734	-0.07054518580000001	0.0167614136	-0.0298823511	-0.0118762502	0.0140071775	-0.0700498078	0.0221789254	0.0349368301	0.09164826460000003	0.1190574454	0.1134110138	0.1092543084	0.1067409852	0.102594853	0.0968793349	0.0	0.0	0.0	0.0131732	0.041155699999999996	-0.120324	-3.67599e-05	0.000153914	0.00025709400000000003
561.3698936076356	531.6371042998553	648.2796401514432	1.281698	26.041930999999998	0.19012357100000002	-0.07976381860000001	-0.0010616236	-0.0597673651	-0.007882890600000001	0.141002196	-0.1044412116	-0.045766055	0.1149322442	-0.0262324444	0.0088026224	0.0836344937	0.0076373952	0.1089757541	0.1056366997	0.1001471866	0.0926189657	0.0	0.0	0.0	0.026772000000000004	0.000511334	-0.114718	-0.000914483	0.00155374	0.000585033
558.7574345782859	532.5306473935028	647.3934366463008	1.4526700000000001	29.515795	0.47189906600000003	-0.08523645460000001	-0.0543001028	0.0853809129	-0.0447748332	-0.1250190332	-0.0014262623	-0.1106311552	-0.0284838221	0.0623432171	-0.0197928626	0.0013090873	0.1618708481	0.1086576952	0.104379251	0.097372861	0.0878216366	0.0	0.0	0.0	0.0199831	0.11822300000000001	-0.027998500000000003	0.0008077819999999999	-0.00155969	0.000207148
560.8880796167446	532.0871299193958	648.3287974653759	1.217459	24.736698	0.22783710000000001	-0.0578166241	0.08785242550000001	-0.0348163823	0.0513994752	0.1100908478	0.0021863879	0.029708398700000006	0.13299491619999998	-0.0255872944	-0.0881856506	0.052719475	0.0676275878	0.1083002468	0.1029704624	0.0942809253	0.08251516019999999	0.0	0.0	0.0	0.0262848	-0.044431599999999995	-0.06875679999999999	0.00102257	-0.00150345	0.00029857
558.1568682127778	532.2540986019941	647.5541832255008	1.1305969999999999	22.971811	0.216927045	-0.0831594584	-0.0155564596	0.08610497710000001	-0.0117152311	-0.0301099698	-0.0940049436	-0.092460313	0.020212125	0.06911610809999999	-0.0440932446	0.0073489417	0.1378673987	0.1079035387	0.1014123765	0.0908814648	0.076730301	0.0	0.0	0.0	0.00843933	0.07662189999999999	-0.0443244	0.000513923	-0.00118302	5.5733500000000004e-05
563.0197499896777	532.3591451241584	648.940189198624	1.107016	22.492689000000002	0.056268245000000015	-0.0639434158	0.0248835738	0.0498511181	0.0527505277	0.1493894868	-0.0160110405	-0.0694438793	0.0529828512	0.0942299521	-0.0330718999	0.05857441610000001	-0.0133674019	0.1074677145	0.0997072524	0.08718556779999999	0.0705005966	0.0	0.0	0.0	0.0140483	0.07594729999999998	-0.0612178	0.000169382	-0.00114842	-0.00022695099999999998
561.136909651313	532.8236876991679	648.2914033528338	1.0425160000000002	21.182154	0.15501774499999998	-0.0652427586	0.053659819	0.0109985781	0.0220198763	0.07062585	-0.0597647563	-0.0031111437	0.0899735459	0.0021108686	-0.1028111147	0.0322513834	-0.0442200381	0.1069929323	0.0978575622	0.0832052897	0.06386216389999999	0.0	0.0	0.0	0.027405099999999998	-0.013242799999999999	-0.0641283	-0.000159782	-0.00156447	1.90419e-05
559.8225240669528	532.668171456956	648.2349476541699	0.88954	18.073956	0.185910055	-0.0843129222	0.0024032562	0.0398702582	0.048563444	0.034681285	-0.08311750650000001	-0.0574273366	0.0281946876	0.0327073316	-0.0823522134	-0.0449148883	0.0257722272	0.1064793643	0.095865988	0.07895361320000001	0.05685348940000001	0.0	0.0	0.0	0.0274707	0.10758	-0.0614265	-0.00036940800000000005	-0.00223347	0.000386813
562.8702375808192	531.5754190864642	647.4579287753372	1.17708	23.916283	0.08171588999999999	0.0421150041	0.1185392692	0.0394377439	-0.0951666341	-0.0140762609	0.1297219197	0.0651840691	-0.0046429076	0.1518581286	0.0753552448	0.0359190882	-0.06759779169999999	0.1059271965	0.0937354172	0.0744444064	0.0495152058	0.0	0.0	0.0	0.00509206	0.09374439999999999	-0.047704	-0.000602601	-0.00262046	0.000371413
