csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
812.3250007370932	962.829307396886	1126.1067663906958	0	0	0	-0.0075160128	0.094559948	-0.0181804841	-0.0988771004	0.1225524146	-0.0921517399	-0.1833520072	0.1102898802	-0.0288842871	0.2552480267	-0.2155026596	0.0191063039	0.1091041759	0.1090898686	0.1090660245	0.1090326458	-0.000120204	0.020771099999999997	0.040505599999999996	0.000934907	0.0005389419999999999	0.000627443
795.0926630061812	960.2379370885643	1121.9345892650877	1.748389	40.550346000000005	0.28852935164	0.1064722747	-0.0416280127	-0.036907623	0.0789772901	-0.1769920086	0.0887513611	-0.16058476800000002	-0.0012093843	0.1130643388	-0.0484529312	-0.1997693603	-0.1137994427	0.1090660245	0.1089372966	0.1087228625	0.108422891	3.6976400000000002e-06	-0.058468200000000005	0.18427000000000002	0.00110468	-0.00059932	0.000627443
793.0473943368522	957.214255028486	1122.6704632133667	1.594118	36.972347	0.23310817035999998	0.0187391711	-0.1467774333	-0.0352303735	-0.06726545519999999	-0.2411046521	0.1591883102	-0.0385404497	0.0127568126	0.1992322817	-0.1294766524	-0.0776152573	-0.0736540682	0.1089897352	0.1086323659	0.1080376181	0.1072067914	0.000195818	0.0210033	0.22842300000000001	-0.00023096099999999999	-0.00144193	0.000619863
799.9404444827707	959.6069931997048	1126.0553810987371	1.819668	42.203509999999994	0.34182808200000003	-0.1008890223	0.0409178306	-0.045934784000000006	0.0809355103	-0.2616204134	0.0728218305	-0.033408000099999995	-0.0560639438	0.2312707527	0.1251125007	-0.2865747798	-0.2106656589	0.1088753345	0.108175503	0.1070124473	0.105391148	0.019643	-0.0289873	0.14460599999999998	0.00230255	-0.00094951	-0.000125672
802.092904712774	958.1908518742912	1124.0505613672854	1.859146	43.119118	0.5080687300000001	0.0662623108	-0.0651298605	-0.0934746435	-0.0097811756	-0.0177286974	-0.0133760084	-0.047702836500000005	0.0973276728	-0.0273373166	-0.0460897764	-0.1373745731	0.0164238485	0.1087228625	0.1075673469	0.1056505759	0.1029861145	-0.016878400000000002	0.0014298	0.00277707	-0.00091492	0.0017015999999999997	-0.00024311799999999999
797.3904742254356	955.2959748750225	1118.4746381003922	1.509177	35.002308	0.09959395	-0.0988259662	-0.075456339	-0.169178737	0.0750805012	0.1091608761	0.1009183406	0.1500759498	0.0520858836	0.022427461	-0.0113097922	-0.118068427	-0.0938635258	0.1085323724	0.1068087481	0.1039562886	0.1000051409	0.0118191	0.0163877	-0.0385316	-0.0009141469999999999	0.00181122	-6.09134e-05
793.0347384459677	954.3483535870912	1115.8358428504127	1.211437	28.096829999999997	0.10307228	-0.1098988216	0.0243899774	-0.2131276372	0.0778015676	-0.0901991866	0.0183934963	0.1670564082	-0.0389109229	-0.0224478469	0.0375499427	-0.08864795560000001	-0.1200028255	0.108303931	0.1059007676	0.1019349164	0.0964648979	0.0337972	0.032693	-0.0226674	-0.00112407	0.00105634	-4.72228e-05
793.7536313994002	954.2342818607933	1117.2595749823536	1.019978	23.656328	0.22246892	-0.098537548	0.0422208471	-0.1828629747	0.0142671909	-0.0711594149	0.012869255800000002	0.1472491329	-0.064176604	-0.037027167400000005	0.0111320795	-0.0134908947	-0.0300062864	0.1080376181	0.1048446753	0.0995928192	0.0923851842	0.04454469999999999	-0.00337933	0.0321755	-0.00170088	-0.000369652	0.000366099
796.2585390149492	953.7822363700841	1119.115051447666	1.183665	27.452702000000002	0.247661515	-0.0255434461	0.0930340336	-0.061905316	-0.0712209936	-0.1029968048	0.0844213368	0.1099871349	-0.1636784877	-0.0139958365	-0.0241789719	-0.0067841254	-0.057667685	0.1077335267	0.1036419483	0.0969373661	0.087788815	0.0043486	0.007334819999999999	0.0263149	0.000712097	0.000611929	-5.71563e-05
802.4240671909224	954.6959263421696	1121.186214440424	1.074134	24.912359	0.105249995	0.1046806987	0.0530070417	0.0194259883	0.0610613128	0.042703911100000005	0.0991521075	0.0032012663	-0.1197020996	-0.08061078349999999	-0.0768262691	0.0030045178	0.022007952400000003	0.1073917633	0.1022942687	0.0939769123	0.0827014951	0.0134651	0.013217	0.0387621	-0.0005409130000000001	0.000622829	0.00023501599999999997
