csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	non_steady_state_outlier03	non_steady_state_outlier04	non_steady_state_outlier05	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
1029.4287563342723	1007.8122049296362	1270.7923367143935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00504281	0.00851179	4.96726e-05	-0.000892415	0.000617406	0.0
1021.0166505545798	1007.71198698591	1271.6970050192585	0.960324	29.792574	0.1353974426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	-0.019922299999999997	0.033397500000000004	-0.018576099999999998	0.000136041	0.000307445	0.0
1024.3824531525047	1007.1896609540947	1272.1297014616805	0.9375899999999999	29.087307	0.15808037999999994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.00585473	-0.0520317	-0.0160048	0.000598701	-0.000115952	0.0
1024.7064296579183	1008.6082757656495	1274.3420040028113	1.0675299999999999	33.118484	0.22726237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-0.00631639	0.00996665	-0.0607842	0.00202253	-0.0005667059999999999	-0.000291687
1020.3904240155864	1008.0790649017064	1272.3353307195873	1.265383	39.256572999999996	0.35875029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.013547	-0.027857599999999996	0.0312596	-0.00063417	0.00026548	0.000399804
1020.607328626658	1006.60823203239	1266.553744526469	1.017666	31.571521999999998	0.15173006849999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.00189586	0.029158299999999998	0.042483099999999996	-0.00133395	4.10783e-06	0.0
1022.5577896257196	1009.0015354374266	1278.4381341037745	2.335881	72.46713299999999	0.63345434	-0.17016160219999998	-0.0814309489	-0.006484324499999999	0.09684577	-0.1339078554	0.0919414183	-0.0151204333	-0.189867791	0.0256745014	-0.2943255934	0.0046209732	-0.0144442333	0.1111058879	0.1110902189	0.1110641056	0.1110275503	0.0	0.0	0.0	0.0	0.0	0.0	-0.0452541	-0.0259205	-0.06164780000000001	0.00673983	4.10783e-06	-0.000543948
1014.8937466773488	1006.7811770760624	1273.48329966975	1.633885	50.688763	0.4589310735	0.0875651582	0.0140408893	-0.07855565519999999	-0.07028785259999999	-0.1209099499	-0.0426085667	0.06545565860000001	-0.0260738489	0.0033117528	-0.2217126032	-0.0427436509	0.1502359215	0.1110641056	0.1109231287	0.1106882998	0.1103598175	0.0	0.0	0.0	0.0	0.0	0.0	-0.0285926	-0.0494836	-0.000289885	0.000391068	0.000481196	-0.000222827
1017.5516984222079	1008.1271617571376	1276.5596370554238	1.2388350000000001	38.432961	0.218283465	-0.0642334333	0.0666548411	0.0756881431	-0.0772152045	-0.0593837437	0.0080642879	0.0295455643	-0.1078123466	0.1482955879	-0.17517942379999998	-0.0018333566	0.036414204	0.1109805565	0.1105891995	0.1099379598	0.1090283678	0.0	0.0	0.0	0.0	0.0	0.0	-0.0152898	-0.102129	-0.0579807	0.00206929	0.000481196	-0.000437494
1024.5248155591073	1008.5896091433299	1277.7908449308604	1.2761930000000001	39.591946	0.26666105	0.07509599269999999	-0.0636198331	0.0518451599	-0.013990874	-0.047058831	0.063162164	0.0700909492	-0.0246087805	-0.0296660408	-0.1905287439	-0.0707687122	0.0040880582	0.1108552722	0.1100889337	0.1088156246	0.1070412087	0.0	0.0	0.0	0.0	0.0	0.0	-0.015457399999999998	-0.0656257	-0.0112448	-0.0008712849999999999	0.00019418	0.0
1024.2283272418151	1007.8111382655037	1279.9257330758533	1.217039	37.75676	0.18804515	-0.0008144617999999999	0.0621085944	-0.07818182809999999	-0.0287066127	-0.098615092	-0.0253648549	0.0403851099	-0.0611922591	0.0665383471	-0.135334251	-0.0077300352000000015	0.1462464029	0.1106882998	0.1094230837	0.1073250918	0.1044102912	0.0	0.0	0.0	0.0	0.0	0.0	-0.034935	-0.10949600000000001	-0.030539799999999995	0.00034555400000000003	0.000646344	-0.00043904199999999995
1022.8584791944713	1009.1907713514872	1276.9592648099178	1.031978	32.015549	0.1316122	-0.0409466903	0.0498140603	0.0756221287	-0.0288802042	-0.0458153787	0.0439689221	0.0370263806	-0.0793390473	0.0995533687	-0.1184463849	0.0056507435	0.0096730027	0.110479702	0.1085926509	0.1054714048	0.1011514379	0.0	0.0	0.0	0.0	0.0	0.0	-0.0349623	-0.151673	-0.057406500000000006	0.00104084	0.00101284	-0.00025
